Name,RA,Dec,Distance,Period
PSR J0624-0424,96.0835,-4.4143,4.39,1.039076046
PSR J2046-0421,311.5005,-4.357,3.83,1.5469375
PSR J1847-0402,281.8451,-4.0373,3.13,0.597760502
PSR J1842-0359,280.6104,-3.9998,4.15,1.839944207
PSR J1801-0357,270.3444,-3.9651,6.66,0.921489585
PSR J0421-0345,65.4875,-3.75,3.09,1.08063
PSR J1833-0338,278.425,-3.6427,5.09,0.686676816
PSR J1743-0337,265.7832,-3.6243,1.79,0.444644291
PSR J1645-0317,251.2585,-3.2995,2.9,0.387688791
PSR J1910-0309,287.6235,-3.1647,10.25,0.504603474
PSR J1844-0244,281.1873,-2.7451,5.99,0.507718547
PSR J1734-0212,263.6904,-2.2094,5.02,0.839386027
PSR J1720-0212,260.2384,-2.2065,5.43,0.477715304
PSR J0459-0210,74.875,-2.1667,0.79,1.1331
PSR J0613-0200,93.4332,-2.0131,2.19,0.003061844
PSR J1823-0154,275.9042,-1.9,4.55,0.75978
PSR J1848-0123,282.0983,-1.3995,3.8,0.659430591
PSR J2248-0101,342.1333,-1.0167,2.28,0.477239
PSR J1905-0056,286.3649,-0.942,6.78,0.643175497
PSR J1837-0048,279.475,-0.8,2.48,0.61705
PSR J1945-0040,296.3682,-0.6827,3.4,1.04563236
PSR J1607-0032,241.8005,-0.5445,0.59,0.421816272
PSR J2005-0016,301.3333,-0.2667,2.77,1.1398
PSR J1834-0010,278.5719,-0.1804,2.63,0.520954308
PSR J1728-0007,262.145,-0.1297,2.21,0.386005064
PSR J1904+0004,286.0375,0.0667,6.43,0.139525
PSR J1825+0004,276.3138,0.0725,2.22,0.778949125
PSR J1910+0004,287.5983,0.0821,4.1,0.003618524
PSR J1909+0007,287.3969,0.1327,3.26,1.016945458
PSR J1919+0021,289.961,0.3612,3.33,1.272255732
PSR J1901+00,285.3833,0.4333,8.16,0.77767
PSR J1929+00,292.3667,0.4333,1.74,1.166912
PSR J1852+0031,283.115,0.5322,8.4,2.180173287
PSR J1808+00,272.0792,0.5667,10.29,0.425114
PSR J1844+00,281.0458,0.5833,6.65,0.460505
PSR J1859+00,284.9417,0.5833,8.59,0.559629
PSR J2139+00,324.925,0.6,2.97,0.31247
PSR J1857+0057,284.2534,0.9546,2.64,0.356928988
PSR J1856+0113,284.0453,1.2224,3.3,0.267398841
PSR J1903+0135,285.8749,1.5939,4.4,0.729301633
PSR J1901+0156,285.3928,1.9442,2.93,0.288218511
PSR J0823+0159,125.7907,1.9869,1.43,0.864872752
PSR J1518+0204B,229.641,2.0827,7,0.007946941
PSR J1518+0205A,229.6388,2.0911,7,0.005553593
PSR J1857+0212,284.4318,2.2115,8.58,0.415814168
PSR J1812+0226,273.2217,2.4496,5.8,0.793901611
PSR J1909+0254,287.4096,2.9142,4.37,0.989827728
PSR J1805+0306,271.2923,3.1086,4.8,0.218711235
PSR J1901+0331,285.3824,3.5184,8.03,0.655449231
PSR J1910+0358,287.5378,3.9741,2.9,2.330260471
PSR J0533+04,83.3575,4.0333,6.66,0.963017697
PSR J0051+04,12.75,4.2667,0.75,0.35473178
PSR J1851+0418,282.7637,4.3033,3.13,0.284697
PSR J1926+0431,291.6019,4.5254,3.94,1.074077147
PSR J1908+0457,287.0671,4.9614,9.29,0.846792846
PSR J1908+0500,287.0215,5.0151,4.44,0.291020787
PSR J1950+05,297.7417,5.5833,4.43,0.455934
PSR J1736+05,264.225,5.8,2.81,0.999245
PSR J1823+0550,275.8791,5.8402,3.03,0.752906448
PSR J1902+0556,285.6777,5.9407,3.93,0.74656971
PSR J0837+0610,129.2735,6.1706,0.72,1.273768081
PSR J1902+0615,285.6947,6.2641,10.12,0.673501
PSR J0922+0638,140.5582,6.6394,2.97,0.430619673
PSR J1906+0641,286.6468,6.6842,9.23,0.267274526
PSR J1848+0651,282.2083,6.85,1.84,0.505954908
PSR J1938+0652,294.5,6.8667,0.69,1.12156065
PSR J1811+0702,272.8362,7.0397,2.91,0.461712104
PSR J1822+0705,275.575,7.09,2.55,1.362817103
PSR J1905+0709,286.474,7.1559,5.48,0.648038997
PSR J1910+0714,287.5775,7.2366,3.6,2.712422838
PSR J1901+0716,285.4123,7.2763,5.49,0.643998411
PSR J1902+0723,285.5564,7.3975,3.33,0.487812628
PSR J1908+0734,287.0709,7.5707,0.58,0.212352673
PSR J1614+0737,243.6708,7.6255,1.5,1.206800212
PSR J1915+0738,288.8533,7.6421,1.98,1.542704449
PSR J1713+0747,258.4564,7.7938,1.1,0.004570137
PSR J1807+07,271.925,7.8833,7.66,0.4643
PSR J1915+07,288.7542,7.8833,3.71,2.0588
PSR J1916+07,289.225,7.8833,8.19,0.54218
PSR J1933+07,293.3333,7.8833,8.94,0.437446
PSR J0953+0755,148.2888,7.9266,0.12,0.253065068
